,school_code,school_name,doro_zipcode,doroname,doroname_detail,si,gu
1450,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1451,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1452,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1453,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1454,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1455,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1456,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1457,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1458,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1459,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1460,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1461,7011315,선정국제관광고등학교,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),서울특별시,은평구
1462,7011312,계성고등학교,2720,서울특별시 성북구 길음로 63,/ 계성고등학교 (길음동),서울특별시,성북구
1463,7011312,계성고등학교,2720,서울특별시 성북구 길음로 63,/ 계성고등학교 (길음동),서울특별시,성북구
1464,7011312,계성고등학교,2720,서울특별시 성북구 길음로 63,/ 계성고등학교 (길음동),서울특별시,성북구
1465,7011312,계성고등학교,2720,서울특별시 성북구 길음로 63,/ 계성고등학교 (길음동),서울특별시,성북구
1466,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
